publisher_id,publisher
0,Sony Computer Entertainment
1,KOEI
2,Capcom
3,Unknown
4,Rockstar Games
5,Konami
6,Sony Interactive Entertainment
7,Electronic Arts
8,Edmund McMillen
9,GT Interactive
10,LucasArts
11,Ubisoft
12,Warner Bros. Interactive
13,Square Enix
14,Atari
15,Eidos Interactive
16,Deep Silver
17,Activision
18,The Fun Pimps
19,Hasbro Interactive
20,Blizzard Entertainment
21,THQ
22,Nintendo
23,Warner Bros. Interactive Entertainment
24,Konami Digital Entertainment
25,Motion Twin
26,Fatshark
27,Microsoft Studios
28,Nicalis
29,Namco Bandai Games
30,Buena Vista
31,Sega
32,Devolver Digital
33,Take-Two Interactive
34,2K Games
35,Ultra Games
36,Parker Bros.
37,Disney Interactive Studios
38,Bethesda Softworks
39,Remedy Entertainment
40,Vivendi Games
41,Studio MDHR
42,989 Studios
43,D3 Publisher
44,Namco
45,505 Games
46,Virgin Interactive
47,Microsoft Game Studios
48,Team17 Software
49,3DO
50,Black Label Games
51,Tecmo
52,Ocean
53,Midway Games
54,Hudson Soft
55,Microsoft
56,Universal Interactive
57,Studio Wildcard
58,"mixi, Inc"
59,Triternion
60,Mindscape
61,Square
62,Crytek
63,Tecmo Koei
64,Gearbox Software
65,2K Sports
66,Paradox Interactive
67,Mystique
68,20th Century Fox Video Games
69,Messhof
70,Men-A-Vision
71,Namco Bandai
72,DrinkBox Studios
73,Majesco
74,Gathering of Developers
75,Tigervision
76,Psygnosis
77,Mattel Interactive
78,TDK Mediactive
79,Conspiracy Entertainment
80,Sierra Entertainment
81,D3Publisher
82,Lace Mamba Global
83,Coleco
84,Trion Worlds
85,2K Play
86,Level 5
87,Banpresto
88,CPG Products
89,VU Games
90,Agetec
91,BAM! Entertainment
92,Games Workshop
93,Answer Software
94,Frictional Games
95,Fox Interactive
96,Focus Home Interactive
97,Gun Media
98,EuroVideo Medien
99,Spike Chunsoft
100,Bandai
101,Titus
102,Data Age
103,Interplay
104,Imagic
105,10TACLE Studios
106,Scholastic Inc.
107,"Destination Software, Inc"
108,Transhuman Design
109,Koei Tecmo
110,ITT Family Games
111,City Interactive
112,Codemasters
113,Xseed Games
114,CokeM Interactive
115,CBS Electronics
116,Bandai Namco Games
117,Atlus
118,Lince Works
119,Hamster Corporation
120,Ignition Entertainment
121,Red Mile Entertainment
122,NIS America
123,Acclaim Entertainment
124,Night Node Software
125,Neocore Games
126,WolfgangIs
127,Back To Basics Gaming
128,THQ Nordic
129,Knowledge Adventure
130,DL Softworks
131,Bandai Namco Entertainment
132,TopWare Interactive
133,Powerhoof Pty Ltd
134,Sold Out
135,Taito
136,Infogrames
137,ASC Games
138,Kemco
139,Bomb
140,Tomy Corporation
141,AQ Interactive
142,UFO Interactive
143,Telltale Games
144,Avalanche Studios
145,Kadokawa Games
146,PlayWay
147,Acquire
148,Gotham Games
149,TDK Core
150,Destineer
151,Victory Lap Games
152,Spike
153,Paramount Digital Entertainment
154,Dark Energy Digital
155,Sound Source Interactive
156,SouthPeak Interactive
157,GameMill
158,TinyBuild Games
159,Marvelous Entertainment
160,Nippon Columbia
161,Thomas Happ Games
162,Galaxy Trail
163,Playlogic Game Factory
164,PQube
165,Avalon Interactive
166,NewKidCo
167,Crave Entertainment
168,Rising Star Games
169,Vir2L Studios
170,Marvelous Interactive
171,Beatnik Games
172,Indie Voyage
173,Insomniac Games
174,GameTrust
175,Trendy Entertainment
176,Little Orbit
177,D-Pad Studio
178,Screenwave Media
179,Hip Interactive
180,NeocoreGames
181,Nihon Falcom Corp
182,Mehsoft
183,Born Ready Games
184,Headup Games
185,Kinto Games LLC
186,Idea Factory International
187,Dagestan Technology
188,"Arcen Games, LLC"
189,KHB-Soft
190,TEAM HORAY
191,Kiss
192,Adult Swim
193,Aksys Games
194,David Williamson
195,Hopoo Games
196,Bootdisk Revolution
197,Space Boat Studios
198,Frogmind
199,Chubby Pixel
200,Lighthouse Games Studio
201,Takara Tomy
202,Merge Games
203,Aspyr
204,Global Star Software
205,Siberian Digital
206,Walter Machado
207,Gamecock
208,ZOV GAME STUDIO
209,O-Games
210,Maximum Games
211,Black Lime Studio
212,Groove Games
213,U.S. Gold
214,Jaleco
215,Game Factory
216,Mumbo Jumbo
217,DreamCatcher Interactive
218,Brash Entertainment
219,Broccoli
220,GameMill Entertainment
221,Outright Games
222,Nordic Games
223,Sammy Corporation
224,Rocket Company
225,FuRyu Corporation
226,Irem Software Engineering
227,Sunrise Interactive
228,Storm City Games
229,Enix
230,Evolution Games
231,Kadokawa Shoten
232,Alchemist
233,Falcom Corporation
234,Marvelous
235,Marvel Entertainment
236,Takara
237,Ready at Dawn
238,Nighthawk Interactive
239,Vatical Entertainment
240,Perp Games
241,Midas Interactive Entertainment
242,Red Storm Entertainment
243,Kalypso Media
244,MTO
245,Legacy Interactive
246,ChunSoft
247,DSI Games
248,Avanquest Software
249,Kaga Create
250,Nippon Ichi Software
251,IE Institute
252,Big Fish Games
253,Oxygen Interactive
254,Berkeley
255,Empire Interactive
256,Wired Productions
257,Encore
258,Stainless Games
259,Aquaplus
260,Zoo Games
261,Idea Factory
262,Yacht Club Games
263,Dramatic Create
264,Sony Computer Entertainment Europe
265,Arc System Works
266,Russel
267,11 bit studios
268,Phantom 8 Studio
269,Inti Creates
270,5pb
271,Experience Inc.
272,SystemSoft Alpha
273,Hoplite Research
274,Soedesco
275,Asgard
276,XS Games
277,Avanquest
278,Piacci
279,Compile Heart
280,Alawar Entertainment
281,Red Flagship
282,Essential Games
283,Neko Entertainment
284,Epic Games
285,Villa Gorilla
286,GungHo
287,HuneX
288,From Software
289,Focus Multimedia
290,Yeti
291,honeybee
292,Facepunch Studios
293,Blast! Entertainment Ltd
294,M2
295,Quinrose
296,Kalypso
297,Interchannel
298,Silky`s
299,Success
300,Prototype
301,Eidos Interactive Ltd
302,King Games
303,Digital Works Entertainment
304,DMM Games
305,Happinet
306,Alternative Software
307,Dovetail Games
308,United Developers
309,Metro 3D
310,Views
311,Rondomedia
312,Noviy Disk
313,SNK Playmore
314,1C Maddox Games
315,Virgin Play
316,Zushi Games
317,Game Factory Interactive
318,Futurlab 1
319,Mojang
320,Broderbund
321,Sony Computer Entertainment America
322,Endnight Games Ltd
323,Chucklefish
324,Crystal Dynamics
325,Ocean Software
326,Team Cherry
327,Hello Games
328,Ninja Theory
329,Gearbox Publishing
330,Frozenbyte
331,Flyhigh Works
332,FDG Entertainment
333,Black Shell Media
334,Cleverweek
335,Analgesic Productions
336,Crackshell
337,Vaka Game Magazine
338,Microids
339,Modus Games
340,GungHo Online Entertainment
341,Unknown Worlds Entertainment
342,Red Orb
343,Galactic Cafe
344,Daedalic Entertainment
345,Navarre Corp
346,Amanita Design
347,ASCII Entertainment
348,Double Fine Productions
349,The Astronauts
350,Elf
351,Kokopeli Digital Studios
352,Sam Barlow
353,Ysbryd Games
354,NEC Interchannel
355,Coconut Island Games
356,White Dog
357,Might and Delight
358,Necrophone Games
359,PopCap Games
360,Natsume
361,Imagineer
362,Pioneer LDC
363,Fireproof Games
364,GrabTheGames
365,Merscom LLC
366,Krillbite Studio
367,Killmonday Games
368,Asylum Entertainment
369,LEGO Media
370,Bit Blot
371,Viva Media
372,Hothead Games
373,Revolution Software
374,Grey Box
375,The Adventure Company
376,Bigben Interactive
377,Media Factory
378,Sunsoft
379,Teotl Studios
380,Gamestorming
381,Imadio
382,Meridian4
383,NEC
384,Hitcents
385,3f Interactive
386,Enterbrain
387,Wadjet Eye Games
388,cada
389,Cyan Worlds
390,Human Entertainment
391,CD Projekt Red Studio
392,Screen 7
393,Wales Interactive Ltd.
394,Data East
395,Gainax Network Systems
396,Uppercut Games Pty Ltd
397,"What Pumpkin Games, Inc."
398,Peace
399,Rusty Lake
400,Hudson Entertainment
401,Lavaboots Studios
402,GSP
403,Unfinished Pixel
404,Badland Games
405,Warp
406,Unbalance
407,Mastiff
408,Athena
409,Aria
410,Fortyfive
411,Aqua Plus
412,Shogakukan
413,Crimson Cow
414,Yumedia
415,Tequila Works
416,Pack-In-Video
417,ASCII Media Works
418,Anuman
419,Klei Entertainment
420,Snail Games USA
421,Zoo Digital Publishing
422,Comfort
423,DTP Entertainment
424,TGL
425,CyberFront
426,Societa
427,Asmik Ace Entertainment
428,ValuSoft
429,Princess Soft
430,Fuji
431,Her Interactive
432,Mamba Games
433,KID
434,Perpetual
435,Licensed 4U
436,Sweets
437,BushiRoad
438,Mastertronic
439,GN Software
440,Creative Core
441,Strategy First
442,Reef Entertainment
443,Media Works
444,Kids Station
445,Minato Station
446,Enlight
447,Entergram
448,Daedalic
449,ReadySoft
450,Quintet
451,Karin Entertainment
452,Koch Media
453,Victor Interactive
454,Technical Associates Inc
455,Datam Polystar
456,Valcon Games
457,Culture Brain
458,Giga
459,Revolution (Japan)
460,Funcom
461,System Soft
462,RED Entertainment
463,Cave
464,Rising Star
465,Easy Interactive
466,Harukaze
467,Simon & Schuster Interactive
468,Rejet
469,Nobilis
470,iMel
471,Takuyo
472,Matatabi
473,Gadget Soft
474,Otomate Idea Factory
475,Assemble Entertainment
476,Graffiti
477,SVG Distribution
478,Abel
479,Astragon
480,Got Game Entertainment
481,Nippon Cultural Broadcasting eXtend
482,Compile
483,Dimple Entertainment
484,Foreign Media Games
485,El Dia
486,Lexicon Entertainment
487,Petit Reve
488,Starfish
489,KING Art Games
490,Tri Synergy
491,SilverStar
492,Black Bean Games
493,Iceberg Interactive
494,MC2 Entertainment
495,Mentor Interactive
496,Phenomedia
497,fonfun
498,Lighthouse Interactive
499,GTE Entertainment
500,The Fullbright Company
501,Elephant Entertainment
502,Adventure Soft
503,Telegames
504,MECC
505,Three Flip Studios
506,Midway
507,Arena Entertainment
508,EA Sports BIG
509,EA Sports
510,Williams Entertainment
511,Playmates
512,Square EA
513,Silver Dollar Games
514,New
515,SNK
516,"H2 Interactive Co., Ltd."
517,Trigger Apps
518,Angel Studios
519,JVC
520,Time Warner Interactive
521,Panasonic Interactive Media
522,Ecole
523,Grand Prix Games
524,Electro Brain
525,Playmore
526,SouthPeak Games
527,G.Rev
528,ESP
529,Tryfirst
530,Yuke's
531,Mediascape
532,Valve
533,RedOctane
534,"Infocom, Inc."
535,Sierra Studios
536,Bohemia Interactive
537,MTV Games
538,Falcom
539,Bossa Studios
540,Invisible Handlebar
541,Coffee Stain Studios
542,Cellar Door Games
543,Abbey Games
544,Pinnacle
545,Almost Human
546,Positech Games
547,BetaDwarf
548,DECK13 Interactive GmbH
549,Young Horses
550,Spectrum Holobyte
551,Aruze Corp
552,Facepalm Games
553,Zen Studios
554,Shiro Games
555,Mud Duck Productions
556,Hemisphere Games
557,E-Line Media
558,Fabio Ricci
559,Polytron Corporation
560,Vlambeer
561,P2 Games
562,Tribute Games
563,Magix
564,Nichibutsu
565,Zono Incorporated
566,Gaijin Entertainment
567,Majesco Entertainment
568,Asteroid Base
569,Activision Value
570,Namco Networks America Inc.
571,Over The Top Games
572,Mad Catz
573,Nippon Telenet
574,Zoo Games silver
575,Seta Corporation
576,Dejobaan Games
577,DarkGod
578,Acid Wizard Studio
579,Refract Studios
580,Endless Fluff Games
581,Bandai Visual
582,Syscom
583,Over The Moon
584,indiePub
585,Sony Music Entertainment
586,inXile Entertainment
587,PM Studios
588,Jackbox Games
589,Zachtronics Industries
590,Daito
591,Gameloft
592,Nickervision Studios
593,Paon
594,LAN - GAMES EOOD
595,GameTek
596,Benesse
597,Hackberry
598,Nippon Amuse
599,Epoch
600,O~3 Entertainment
601,Virtual Play Games
602,Myelin Media
603,Edia
604,Tommo
605,Imax
606,Alliance Digital Media
607,Funbox Media
608,Tivola
609,Coconuts Japan
610,Vap
611,AIA
612,Pony Canyon
613,Sonnet
614,Zenrin
615,Fields
616,3 O'Clock
617,Kamui
618,ASK
619,KSS
620,Paon Corporation
621,CK Games
622,7G//AMES
623,A1 Games
624,PlayV
625,Yamasa Entertainment
626,Plenty
627,Dorart
628,Gakken
629,Mirai Shounen
630,Alvion
631,Global A Entertainment
632,Media Entertainment
633,Maximum Family Games
634,Boost On
635,Naxat Soft
636,NetRevo
637,Otomate
638,Nitroplus
639,Commseed
640,Agatsuma Entertainment
641,System Soft Alpha
642,Hiromi
643,SystemSoft
644,Moss
645,Recom
646,"Thekla, Inc."
647,MegaHouse
648,althi Inc.
649,Tera Box
650,Focus
651,Genki
652,NCS
653,Ides
654,Genterprise
655,Summitsoft Entertainment
656,Datel
657,Land Ho
658,Nordcurrent
659,NCSoft
660,Activision Blizzard
661,Sony Online Entertainment
662,Carbine Studios
663,Black Eye Games
664,Harmonix Music Systems
665,Digital Tribe Games
666,Ravenscourt
667,imageepoch Inc.
668,Planet Entertainment
669,Joindots
670,Re-Logic
671,BMG Interactive Entertainment
672,The Behemoth
673,Hitbox Team
674,Trapdoor
675,Number None
676,Team 17
677,"Mossmouth, LLC"
678,Rare
679,Terry Cavanagh
680,Playdead
681,Studio Pixel
682,Jack of All Games
683,Image & Form Games
684,Broken Rules
685,AGM Playism
686,New Reality Games
687,Matt Makes Games Inc.
688,Oddworld Inhabitants
689,GR3 Project
690,Glaiel Games
691,Gears for Breakfast
692,Accolade
693,GarageGames
694,AlienTrap Games
695,System 3
696,Capcom Entertainment
697,Carlsen Games
698,WayForward
699,Rain Games
700,Haydee Interactive
701,team BitClub
702,Icy Studios
703,Way Forward
704,Plug In Digital
705,Sluggerfly
706,AwesomeBlade
707,Metanet Software Inc.
708,Team Indev
709,ZackBellGames
710,Batterystaple Games
711,Giorgi Abelashvili
712,Retro Affect
713,Extend Studio
714,Synnergy Circle Games
715,K Bros Games
716,Smudged Cat Games
717,Missing Link Games
718,WayForward Technologies
719,Polykid
720,System 3 Arcade Software
721,Working Designs
722,DotEmu
723,Cygames
724,Leadman Games
725,Badland Studio
726,Team Meat
727,3909 LLC
728,Joey Drew Studios Inc.
729,Invent4 Entertainment
730,Lazy 8 Studios
731,Two Tribes
732,BPS
733,Out of crumpét's:
734,Sidhe Interactive
735,Sometimes You
736,Sears
737,Zodiac Interactive
738,Rooster Teeth Games
739,EightyEightGames
740,Anatoliy Loginovskikh
741,ThinkOfGames
742,Digital Tentacle
743,Cipher Prime
744,Seragam
745,Dymchick1
746,Rainbow Games
747,Secret Exit Ltd.
748,Jetdogs Studios
749,Lupus Studios Limited
750,OneBigGame
751,Rock Path Collective
752,Matthew Brown
753,Blender Games
754,"Genius Products, Inc."
755,iWin
756,HAL Laboratory
757,Bold Games
758,eGames
759,Pow
760,Viacom
761,Tulip Games
762,CDV Software Entertainment
763,Dispatch Games
764,Secret Stash Games
765,O3 Entertainment
766,Rovio Mobile
767,Mercury Games
768,Virtual Playground
769,Artifex Mundi sp. z o.o.
770,Freeze Tag
771,HdO Adventure
772,Enjoy Gaming ltd.
773,Video System
774,Interplay Productions
775,Kunos Simulazioni
776,TYO
777,Milestone S.r.l.
778,Real Dynamics
779,Milestone
780,Big Ben Interactive
781,Milestone S.r.l
782,Dusenberry Martin Racing
783,Funselektor Labs Inc.
784,704Games
785,HandyGames
786,Milkstone Studios
787,Neognosis
788,Media Rings
789,Telstar
790,Excalibur Publishing
791,Detn8 Games
792,Evolved Games
793,"Orbital Media, Inc."
794,The Learning Company
795,Rombax Games
796,1C Company
797,SCi
798,bitComposer Games
799,Xicat Interactive
800,U&I Entertainment
801,Shin'en
802,Bergsala Lightweight
803,Tradewest
804,Microforum
805,LSP Games
806,Image Space Incorporated
807,Ghostlight
808,Interplay Entertainment Corp.
809,Toby Fox
810,Private Division
811,Runic Games
812,Red Hook Studios
813,Larian Studios
814,Crate Entertainment
815,Warhorse Studios
816,Quest
817,Defiant Development
818,Rebellion Games
819,Ska Studios
820,SquareSoft
821,EQ Games
822,Gust
823,Behold Studios
824,On Demand
825,Versus Evil
826,JoWood Productions
827,Gaijinworks
828,Sunight Games
829,Game Arts
830,Lasta Dan Publisher
831,Overhype Studios
832,Digerati Distribution
833,Blackfire Games
834,Lonely Troops
835,Priority Interrupt
836,Cats Who Play
837,Matt Roszak
838,QCF Design
839,WAX Publishing
840,Spiderweb Software
841,Butterscotch Shenanigans
842,DoubleBear Productions
843,Beamdog
844,Winged Cloud
845,Indimo Labs LLC
846,TOHO
847,Micro Cabin
848,Image Epoch
849,Flight-Plan
850,Locus
851,Perfect World Entertainment
852,Nihon Falcom Corporation
853,Acttil
854,IGS
855,Hot-B
856,Nexon
857,Sting
858,ArtDink
859,King Records
860,8-4
861,Turbine Inc.
862,Obsidian Entertainment
863,Techland
864,Michaelsoft
865,ArenaNet
866,Sirtech
867,Numantian Games
868,TopWare
869,PUBG Corporation
870,Tripwire Interactive
871,Valve Corporation
872,Daybreak Games
873,Valve Software
874,SUPERHOT Team
875,Whiptail Interactive
876,Offworld Industries
877,Taxan
878,Rebellion Developments
879,Touchstone
880,Cold Beam Games
881,Modulaatio Games
882,NovaLogic
883,JForce Games
884,Ironhide Game Studio
885,Wargaming.net
886,Ripcord Games
887,Trickjump Games Ltd
888,Destructive Creations
889,Pub Games
890,Terrible Posture Games LLC
891,ANPA.US
892,Treasure
893,StarSystemStudios
894,Just1337 Publisher
895,Reverb Triple XP
896,Brogames
897,Kazakov Oleg
898,Axyos Games
899,Sorath
900,Cadenza Interactive
901,The Farm 51
902,Phantom EFX
903,New Blood Interactive
904,id Software
905,Gaga
906,Arika
907,Rebellion
908,Visco
909,Warashi
910,Qute
911,Triangle Service
912,Best Media
913,Chara-ani
914,Behaviour Interactive
915,Illusion Softworks
916,Digital Jesters
917,Maxis
918,Domark Software
919,SCS Software
920,Keen Software House
921,Introversion Software
922,Sunflowers
923,IMGN PRO
924,Berserk Games
925,Frontier Developments
926,Hinterland Studio Inc.
927,Greenheart Games
928,Monomi Park
929,Xbox Game Studios
930,Team17 Digital Ltd
931,Panic
932,Black Pearl
933,Vertigo Gaming Inc.
934,Double Damage Games
935,Jorudan
936,Microprose
937,Hect
938,Digital Leisure Inc.
939,Cherry Pop Games
940,Kasedo Games
941,CharlieH
942,Good Shepherd Entertainment
943,Owlchemy Labs
944,ARUSH Entertainment
945,Core Design Ltd.
946,Curve Digital
947,FCI
948,YuPlay
949,ArtwareGames
950,Excalibur Publishing Limited
951,Hovgaard Games
952,Maschinen-Mensch
953,Vivid Games S.A.
954,Kyle Seeley
955,Aerosoft
956,Iceflake Studios
957,Forever Entertainment S.A.
958,Endless Loop Studios
959,Humble Bundle
960,Firemint
961,Biart Design Studio
962,LVGameDev LLC
963,Skybound Games
964,Those Awesome Guys
965,Double Fine Presents
966,Hearty Robin
967,Origin Systems
968,Egosoft
969,American Technos
970,Giants Software
971,Phantagram
972,TREVA Entertainment
973,RTL
974,Riverhillsoft
975,Masque Publishing
976,Lionhead Studios
977,Office Create
978,UIG Entertainment
979,Graphsim Entertainment
980,Imageworks
981,Monte Christo Multimedia
982,Paradox Development
983,Ongakukan
984,Independent Arts Software GmbH
985,Ascaron Entertainment
986,Studio Artdink
987,Summitsoft
988,RailSimulator.com
989,First Class Simulations
990,GMX Media
991,E-Frontier
992,Sandlot Games
993,Just Flight
994,Stardock
995,iEntertainment Network
996,Humongous Entertainment
997,Psyonix
998,Tengen
999,Saga Planets
1000,Magical Company
1001,989 Sports
1002,Axela
1003,Home Entertainment Suppliers
1004,Proletariat Inc.
1005,VR Sports
1006,Aques
1007,Fellow Traveller
1008,MLB Advanced Media
1009,Gremlin Interactive Ltd
1010,Tru Blu Entertainment
1011,Psyonix Studios
1012,RedLynx
1013,Agharta Studio
1014,T&E Soft
1015,HeroCraft
1016,Asmik Corp
1017,responDESIGN
1018,Griffin International
1019,MLB.com
1020,DigiCube
1021,Misawa
1022,49Games
1023,Technos Japan Corporation
1024,Now Production
1025,Blade Interactive
1026,GamersGate
1027,Alpha Unit
1028,Fru Blu Games
1029,Mindstorm Studios
1030,Blue Byte
1031,Westwood Studios
1032,Ndemic Creations
1033,Mega Crit Games
1034,Triumph Studios
1035,Hidden Path Entertainment
1036,KillHouse Games
1037,Wizards of the Coast
1038,GSC Game World
1039,Puppy Games
1040,14 Degrees East
1041,SSI
1042,Big Sandwich Games
1043,Game-Labs
1044,Independent
1045,W!Games
1046,Dan Walters
1047,General Entertainment
1048,A.Y.std
1049,Pipliz
1050,Hammerfall Publishing
1051,Playboom
1052,Slitherine Software
1053,17-Bit
1054,MoaCube
1055,exoSyphen Studios
1056,Alda Games
1057,Naarassusi Publisher
1058,Northway Games
1059,Aterdux Entertainment
1060,Quaint Emerald
1061,Cobra Mobile
1062,MinMax Games Ltd.
1063,Glams
1064,New World Computing
1065,League of Geeks
1066,Interchannel-Holon
1067,TalonSoft
1068,FireFly Studios
1069,HD Interactive
1070,EON Digital Entertainment
1071,DTMC
1072,Spellbound
1073,Nitro+
1074,DeXP
1075,MangaGamer
1076,MoeNovel
1077,Type-Moon
1078,Love Conquers All Games
1079,Somi
1080,Sekai Project
1081,Sprite
1082,Giza10
1083,Wolfgame
1084,Digiturbo
1085,MAGES
1086,Stack
